player_name,TS_pct,heightInCm,weightInKg
Craig Smith,0.582,203.2,117.3
Cristiano Felicio,0.611,208.3,123
Curtis Borchardt,0.492,213.4,109.8
Cuttino Mobley,0.525,193,97.5
D.J. Augustin,0.552,182.9,82.6
D.J. Kennedy,0.466,195.6,97.1
D.J. Wilson,0.537,208.3,105.5
Daequan Cook,0.492,195.6,94.9
Dahntay Jones,0.503,198.1,98.1
Dairis Bertans,0.362,193,90.7
DaJuan Summers,0.419,203.2,108.9
Dajuan Wagner,0.726,190.5,90.7
Dakari Johnson,0.575,213.4,115.7
Dale Davis,0.474,210.8,114.3
Damian Jones,0.604,213.4,111.1
Damian Lillard,0.578,190.5,88.5
Damien Inglis,0.444,203.2,111.6
Damien Wilkins,0.496,198.1,101.7
Damion James,0.301,200.7,101.5
Damion Lee,0.538,198.1,95.3
Damir Markota,0.449,208.3,102.1
Damjan Rudez,0.543,208.3,99.5
Damon Jones,0.551,190.5,86.6
Damon Stoudamire,0.489,177.8,78.6
Damone Brown,0.409,203.2,91.6
Damyean Dotson,0.528,198.1,95.3
Dan Dickau,0.525,182.9,83.9
Dan Gadzuric,0.423,210.8,109.7
D'Angelo Russell,0.524,195.6,88.5
Daniel Ewing,0.477,190.5,83.9
Daniel Gafford,0.676,208.3,106.1
Daniel Gibson,0.54,188,89.7
Daniel Hamilton,0.5,200.7,88.5
Daniel Ochefu,0.43,210.8,111.1
Daniel Orton,0.527,208.3,118.7
Daniel Santiago,0.426,215.9,116.1
Daniel Theis,0.62,205.7,110.5
Danilo Gallinari,0.589,208.3,102.4
Danny Fortson,0.621,203.2,117.9
Danny Granger,0.531,205.7,103.1
Danny Green,0.56,198.1,96.7
Dante Cunningham,0.522,203.2,103.9
Dante Exum,0.527,198.1,88.4
Danuel House Jr.,0.584,200.7,99.8
DaQuan Jeffries,0.5,195.6,104.3
Dario Saric,0.555,208.3,101.4
Darius Bazley,0.475,203.2,94.3
Darius Garland,0.498,185.4,87.1
Darius Miles,0.508,205.7,99
Darius Miller,0.478,203.2,103
Darius Morris,0.463,193,87.3
Darius Songaila,0.532,205.7,111.5
Darius Washington,0.493,188,88.5
Darko Milicic,0.425,213.4,121.7
Darnell Jackson,0.452,205.7,114.8
Darrell Armstrong,0.48,185.4,81.6
Darrell Arthur,0.5,205.7,106.1
Darren Collison,0.568,188,77.8
Darrick Martin,0.404,180.3,77.1
Darrun Hilliard,0.444,198.1,95.3
Darryl Watkins,0.437,210.8,117
Darvin Ham,0.454,200.7,108.9
Daryl Macon,0.491,190.5,83.9
David Andersen,0.505,210.8,111.6
David Harrison,0.543,213.4,127
David Lee,0.582,205.7,110.5
David Noel,0.47,198.1,104.3
